Job Title,Company Name,Job Location,Skills Required,Date Posted
financial planning analyst,Confidential ,"6th of October, Giza, Egypt",Full TimeOn-siteExperienced · 7 - 10 Yrs of Exp · Accounting/Finance · Analyst · Finance · Financial Analysis · Accounting · SAP · Financial Planning,2 months ago

Senior Business analyst,Algoriza ,"6th of October, Giza, Egypt",Full TimeRemoteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Business Development · Business Analysis · Analyst · business · Management · Computer Science · Engineering · Finance,2 months ago

Senior Financial Analyst,Square Engineering Firm ,"Madinaty, Cairo, Egypt",Full TimeOn-siteExperienced · 10 - 12 Yrs of Exp · Accounting/Finance · Analyst · CFA · Finance · Financial Management · Planning · ERP,2 months ago

FP&A analyst,Tiba Egypt  ,"Katameya, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Financial Planning · financial analyst · Budgeting,2 months ago

Human Resources Data Analyst,Talents Work ,"Riyadh, Saudi Arabia",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel,26 days ago

Data Analyst,Alvest Equipment Services (AES) ,"Dubai, United Arab Emirates",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,27 days ago

Data Analyst – Graduate Training Program (online – parttime),Moyyn ,"Dubai, United Arab Emirates",Part TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · microsoft office · training · python · testing,25 days ago

Data Analyst,Truelancer.com ,"Riyadh, Saudi Arabia",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,20 hours ago

Odoo Functional Consultant/Business Analyst,Confidential ,"Sheikh Zayed, Giza, Egypt",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Administration · Other · Business Analyst · Functional · Odoo functional consultant · Odoo functional · Functional consultant,4 days ago

Junior Compliance Analyst (Remote),Kreativstorm ,"Riyadh, Saudi Arabia",Full TimeExperienced · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · Data Analysis · Financial Analysis · Microsoft Office · Accounting · Computer Skills · Microsoft Excel,4 days ago

Analyst  Credit and Collections,Wesco ,"Dubai, United Arab Emirates",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Computer Science · Business Analysis · Finance · Accounting · Microsoft Office,1 month ago

Consumer Behavior Analyst,Intoude Foundation ,"Kuwait City, Kuwait",Full TimeExperienced · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · marketing · market research · social media · sales · analysis · research · communication skills,2 months ago

Accounting Analyst,Alreda Sealants group ,"Shubra, Cairo, Egypt",Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Finance · Commerce · Analyst,10 days ago

Revenue Analyst,Blu Mountain ,"Los Angeles, United States",Full TimeRemoteEntry Level · 3+ Yrs of Exp · Accounting/Finance · IT/Software Development · Analysis · Revenue · Budgeting · Business Planning · Revenue Management,11 days ago

Job & OD Analyst,BSL  BAE Systems Strategic Aerospace Services WLL ,"Doha, Qatar",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer engineering · computer science · data analysis · data analytics team lead · quality,2 months ago

Budget Analyst,RFCO Developments ,"New Cairo, Cairo, Egypt",Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Accounting/Finance · Accounting · Budget · business · Finance · Financial Analysis · Analysis · Budgeting · analytical · Forecasting,2 months ago

Financial Analyst,Capital Guard ,"Sheraton, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Business Administration · Finance · Financial Analysis · Financial Management · Financial · Commerce,2 months ago

Senior Data Integration Engineer,efinance ,"Smart Village, Giza, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · ETL · Integration · Data Integration · Software Engineering · Data Modeling · Database · Python · Software Development,2 months ago

